TARGET_PERIOD,actual
2011-06-01,2.7
2011-09-01,3.0
2011-12-01,2.8
2012-03-01,2.7
2012-06-01,2.4
2012-09-01,2.6
2012-12-01,2.2
2013-03-01,1.7
2013-06-01,1.6
2013-09-01,1.1
2013-12-01,0.8
2014-03-01,0.5
2014-06-01,0.5
2014-09-01,0.3
2014-12-01,-0.2
2015-03-01,-0.1
2015-06-01,0.5
2015-09-01,0.2
2015-12-01,0.2
2016-03-01,0.0
2016-06-01,0.1
2016-09-01,0.4
2016-12-01,1.1
2017-03-01,1.5
2017-06-01,1.3
2017-09-01,1.6
2017-12-01,1.3
2018-03-01,1.4
2018-06-01,2.0
2018-09-01,2.1
2018-12-01,1.5
2019-03-01,1.4
2019-06-01,1.3
2019-09-01,0.8
2019-12-01,1.3
2020-03-01,0.7
2020-06-01,0.3
2020-09-01,-0.3
2020-12-01,-0.3
2021-03-01,1.3
2021-06-01,1.9
2021-09-01,3.4
2021-12-01,5.0
2022-03-01,7.4
2022-06-01,8.6
2022-09-01,9.9
2022-12-01,9.2
2023-03-01,6.9
2023-06-01,5.5
2023-09-01,4.3
2023-12-01,2.9
